file,sent_idx,term,sentence,suggestion
2001 - telescope.txt,519,simple,"XCP Software Goals Goal S Rl M Ru T G1 Maintain simple, consistent data flow interfaces between the FSW and X X its external interfaces.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2001 - telescope.txt,551,simple,"0 Software Requirements Specification Page 33 The Bootstrap CSC, identified XCP-BOOT, is a EEPROM-resident program which performs a basic hardware BIT, loads the flight program from EEPROM, and provides a simple RS-232-based monitor useful during development for examining memory and for downloading programs.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2001 - telescope.txt,729,fast,"Data Dictionary Name Attributes Description SEQ_ID Type: UINT8 Sequencer Program ID Null, Image (4 modes: low-gain fast-exposure, low-gain slow-exposure, high-gain fast- exposure, high-gain slow-exposure), Photo- Diode, Windowed Timing, Photon-Counting, Bias Image Calculation, Bias Row Calculation, Raw-Data, Predetermined Science Telemetry Pattern SEQ_PRG Composite: Sequencer Program Image {BYTES} SEQ_TBL Composite: (TBR) Table with the following columns: {SEQ_ID} + Mode: Null, Image (4 modes: low-gain fast- {FLUX} + exposure, low-gain slow-exposure, high-gain {DAC_VOLTAGE} fast-exposure, high-gain slow-exposure), Photo- Diode, Windowed Timing, Photon-Counting, Bias Image Calculation, Bias Row Calculation, Raw-Data, Predetermined Science Telemetry Pattern Counts Per Second (CPS) Sequence Program No.","Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
2001 - telescope.txt,843,fast,"X_SEQ_START Start Manual Mode MAN SEQ_ID Null, Image (4 modes: low-gain fast- exposure, low-gain slow-exposure, high-gain fast-exposure, high-gain slow-exposure), Photo-Diode, Windowed Timing, Photon- Counting, Bias Image Calculation, Bias Row Calculation, Raw-Data, Predetermined Science Telemetry Pattern X_SEQ_UPLD_PRG Upload Sequencer Program MAN UPLD_HDR, UPLD_DATA X_SEQ_UPLD_TBL Upload Sequencer Programs Lookup MAN SEQ_TBL Table X_SYS_CHKS32 Calculate and store checksum MAN 3{ADDRESS}3 X_SYS_CLOS_SHUTR Close Sun Shutter RED RAD_SRC_FLAG X_SYS_DCX_OFF Turn Off Data Compression MAN None X_SYS_DCX_ON Turn On Data Compression MAN None X_SYS_LKOP_SHUTR Lock the Sun Shutter Open RED None X_SYS_OPEN_DOOR Open Camera Door RED DOOR_ACT_ID, DOOR_TIMEOUT There are two HOP type actuators, and they require many seconds to heat the wax (150 seconds typical).","Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
2002 - evla back.txt,69,reliable,2.3.2 Engineers and Technicians The ability of the Backend System to achieve and maintain real-time processing will be vitally dependent upon reliable operation and rapid diagnosis and repair of faults in the hardware and software systems.,"Specify reliability target, e.g., 'availability ≥ 99.9% monthly'."
2002 - evla back.txt,143,fast,A power-of-two complex-to-complex Fast Fourier Transform with retention of all output positive and negative frequencies will be used.,"Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
2002 - evla back.txt,239,robust,EVLA Operations System SRS 15 3.8 Security The Backend System needs a robust security mechanism in place so that unauthorized users are not allowed access.,"Specify failure modes and recovery time, e.g., 'recovers within 5s after transient failure'."
2002 - evla back.txt,250,secure,"(e.g., username and password) 3.8.2 All login attempts shall be done in a secure manner.","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2002 - evla corr.txt,11,easy,• Allow for easy system access to aid testing and debugging.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
2002 - evla corr.txt,46,robust,"2.2.3 Data Output Specific data sets required by the Backend Data Processing System (state counts, auto correlations, etc) will be provided in a timely and robust fashion over a secondary virtual network.","Specify failure modes and recovery time, e.g., 'recovers within 5s after transient failure'."
2002 - evla corr.txt,62,reliable,2.3.2 Engineers and Technicians The ability of the Correlator System to achieve and maintain high reliability and uptime will be vitally dependent upon reliable operation and rapid diagnosis and repair of faults in the hardware and software systems.,"Specify reliability target, e.g., 'availability ≥ 99.9% monthly'."
2002 - evla corr.txt,70,reliable,2.4.2 Computer Hardware Limitations The ultimate determiner of a reliable and available correlator is dependent on the stability of the CMCS network and control computers.,"Specify reliability target, e.g., 'availability ≥ 99.9% monthly'."
2002 - evla corr.txt,152,robust,EVLA Correlator Monitor and Control SRS 11 3.8 Security The CMCS needs a robust security mechanism in place so that unauthorized users are not allowed access.,"Specify failure modes and recovery time, e.g., 'recovers within 5s after transient failure'."
2002 - evla corr.txt,163,secure,"(e.g., username and password) 3.8.2 All login attempts shall be done in a secure manner.","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2002 - sce api.txt,68,fast,Such bottlenecks could severely compromise the performance of an emulator which is otherwise very fast.,"Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
2002 - sce api.txt,73,simple,(cid:127) Chapter 3.0: A tutorial that shows how the use model is used in a simple application.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2002 - sce api.txt,92,simple,"2.1.1 Support for Multi-Threaded Environments The SCE-MI is designed to couple easily with multi-threaded environments such as SystemC, yet it also functions just as easily in single-threaded environments such as simple C programs.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2002 - sce api.txt,102,easy,This would remove any requirement for them to be familiar with any of the SCE-MI hardware-side interface macros (see section 4.1 on page46) except possibly the SceMiClockPort macro whose interface is easy to understand because all it really does is furnish a clock and a reset.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
2002 - sce api.txt,104,easy,"Such models would encapsulate the details of interfacing to the SCE-MI software side and, might present a fully untimed, easy to use interface to the rest of the software testbench.","Specify what 'easy' means (install, learn, use) with measurable criteria."
2002 - sce api.txt,139,simple,"Rather, they can be considered arbitrary data types ranging in abstraction from a simple bit, boolean or integer, on up to something as complex as a C++ class or even some aggregate of objects.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2002 - sce api.txt,183,simple,These compactly defined and simple to use macros fully present all necessary aspects of the interface to the transactors and the DUT.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2002 - sce api.txt,203,simple,"The following parameters specified at the points of instantiation of the macros fully specify the required dimensions of the SCE-MI infrastructure components (see 4.2.1 on page59 for more details): (cid:127) Number of transactors (cid:127) Number of input and output channels (cid:127) Name and width of each channel (cid:127) Number of controlled clocks (cid:127) Name, clock ratio, and duty cycle of each controlled clock Figure 5 shows a simple example of how a transactor and DUT might connect to the hardware side interface of the SCE-MI.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2002 - sce api.txt,235,simple,"Using this simple mechanism, the software side RouteConfig model progressively teaches each Hub its routes (via Waltham) so that it can, in turn, pass additional TeachRoute tokens to Hubs more distant from Waltham.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2002 - sce api.txt,278,simple,This transactor was chosen to be described in detail because it provides a simple example of clock control and message port interfacing.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2002 - sce api.txt,315,efficient,"The former is less Functional Requirements Specification: Standard Co-Emulation Modeling Interface (SCE-MI) 31 of 94 User’s Guide and Tutorial efficient but safer because the message is passed by value and therefore there is no danger of the receiver corrupting the sender’s data or worse, having the sender’s data go out of scope leaving the receiver with a possibly dangling reference.","Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
2002 - sce api.txt,316,efficient,"However, passing messages by reference is more efficient but care must be taken in their use.","Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
2002 - sce api.txt,546,simple,"To specify the ratios, the frequencies can be directly entered as integers using kHz as the unit (but omitting it !): 100000 / 100000 - the fastest clock 100000 / 25000 100000 / 10000 Functional Requirements Specification: Standard Co-Emulation Modeling Interface (SCE-MI) 53 of 94 Formal Functional Specification 100000 / 7500 100000 / 32 Users who like to think in frequencies rather than ratios can use this simple technique.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2002 - sce api.txt,822,simple,"The API shall provide a simple accessor to return the number of objects of a given kind, and read and write accessors (described below) to allow reading or overriding attribute values of specific objects.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2002 - sce api.txt,841,fast,RatioNumerator Integer Numerator (“fast” clock cycles) of clock ratio.,"Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
2002 - sce api.txt,1036,simple,"Functional Requirements Specification: Standard Co-Emulation Modeling Interface (SCE-MI) 89 of 94 Formal Functional Specification Appendix B: Multiclock Hardware Side Interface Example The following diagram shows the top level structure of a simple multiclock, multitransactor example: FIGURE 18.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2003 - agentmom.txt,10,efficient,Reorganization refers to a situation where the previous organization structure is not efficient to succeed the mission.,"Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
2003 - agentmom.txt,32,reliable,2.4 Constraints 2.4.1 Reliable message delivery – multicast/broadcast packets are delivered with best effort.,"Specify reliability target, e.g., 'availability ≥ 99.9% monthly'."
2003 - pnnl.txt,0,efficient,PNNL-14382 Task Report for the Energy Efficient and Affordable Small Commercial and Residential Buildings Research Program Project 2.5 - Pattern-Recognition Based Fault Detection and Diagnostics Automated Diagnostics Software Requirements Specification Version 1.1 D.R.,"Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
2003 - pnnl.txt,15,efficient,(8/00) Final Report for the Energy Efficient and Affordable Small Commercial and Residential Buildings Research Program Project 2.5 – Pattern-Recognition based Fault Detection and Diagnostics Automated Diagnostics Software Requirements Specification Version 1.1 D.,"Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
2003 - pnnl.txt,115,simple,"The results of the diagnostics will be displayed to the user in a simple, graphical and textual format.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2003 - pnnl.txt,142,simple,"The tool will not provide capability for additional user-defined analysis of the diagnostic results, results will be provided in a simple, final, definitive manner.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2003 - pnnl.txt,197,secure,"If a period of 15 minutes elapses whereby the user does not secure the tool, the users privileges will automatically revert to those of a general user.","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2003 - pnnl.txt,578,simple,"Diagnostic results to be displayed to the user will be done so in a simple, graphical and textual format.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2003 - pnnl.txt,1316,efficient,"If nt = 0, Set Boiler_Cycles_Past_Hour = Cycle_Counts - 1 Note: We can probably specify more efficient ways to update the variables used in this cycle coutning procedure.","Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
2003 - pnnl.txt,1322,efficient,This situation can also present a safety problem so it is important from a safety standpoint as well as efficient operation.,"Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
2003 - qheadache.txt,0,simple,"Qheadache, Version 1.0 Software Requirements Specification draft A September 29, 2003 Jean­Philippe Brossat Index 1 Introduction......................................................................................................................3 1.1 Purpose.....................................................................................................................3 1.2 Scope........................................................................................................................3 1.3 Definitions, Acronyms, and Abbreviations..............................................................3 1.4 References................................................................................................................3 1.5 SRS Document Overview........................................................................................4 2 GENERAL DESCRIPTION............................................................................................4 2.1 Product Perspective..................................................................................................4 2.1.1 User Interfaces .................................................................................................4 2.1.2 Hardware Interfaces .........................................................................................4 2.1.3 Software Interfaces...........................................................................................4 2.1.4 Communications Interfaces..............................................................................4 2.1.5 Memory Constraints.........................................................................................4 2.1.6 Site Adaptation Requirements..........................................................................4 2.2 Product Functions.....................................................................................................5 2.2.1 Undo et Redo Actions......................................................................................5 2.2.2 Time passed to play..........................................................................................5 2.2.3 Count of action number....................................................................................5 2.2.4 Score.................................................................................................................5 2.2.5 Score windows..................................................................................................5 2.3 User Characteristics..................................................................................................5 2.4 Start Up Requirements.............................................................................................5 2.5 Apportioning of Requirements.................................................................................5 3 SPECIFIC REQUIREMENTS........................................................................................5 3.1 External Interfaces....................................................................................................5 3.1.1 User Interfaces..................................................................................................6 3.1.1.1 Introduction..............................................................................................6 3.1.1.2 Main window............................................................................................6 3.1.2 Software Interfaces...........................................................................................6 3.1.3 Communications Interfaces.............................................................................6 3.2 Functional Requirements.........................................................................................6 3.2.1 Actions..............................................................................................................6 3.2.1.1 Presentation of the board..........................................................................6 3.2.1.2 Block selection..........................................................................................7 3.2.1.3 Block deselection......................................................................................7 3.2.1.4 Block movement.......................................................................................7 3.2.1.5 Undo Action..............................................................................................8 3.2.1.6 Redo Action..............................................................................................8 3.2.2 End of the game management..........................................................................9 3.2.2.1 End of the game .......................................................................................9 3.2.2.2 Finish Windows with Statistics................................................................9 3.2.2.3 Simple Finish Windows..........................................................................10 3.2.3 Statistics Management....................................................................................10 3.2.3.1 Player Statistics management.................................................................10 3.2.3.2 Game Statistics management..................................................................10 3.2.3.3 Statistics erasing.....................................................................................11 3.2.3.4 Statistic Window.....................................................................................11 3.2.4 File management............................................................................................12 3.2.4.1 Open game..............................................................................................12 3.2.4.2 Save game...............................................................................................12 3.2.4.3 Save game as...........................................................................................13 3.2.4.4 Exit..........................................................................................................13 3.2.5 Menu bar.........................................................................................................14 3.2.5.1 Game menu.............................................................................................14 3.2.5.2 Action menu............................................................................................14 3.2.5.3 Statisctis menu........................................................................................15 3.2.5.4 Help menu...............................................................................................15 3.3 Performance Requirements....................................................................................15 3.4 Software System Attributes....................................................................................15 1Introduction 1.1Purpose This specifications establishes the requirements for the product named Qheadache.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2003 - qheadache.txt,38,simple,"3.1.1User Interfaces 3.1.1.1 Introduction The users consist of anyone who wants to play a simple game who knows how to operate a computer, with a beginning level player starting at age 8, up through an advanced level player who could be an adult.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2003 - qheadache.txt,83,simple,"If not the ""Simple finish Window"" is displayed, see chapter 3.2.2.3.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2003 - qheadache.txt,92,simple,"3.2.2.3Simple Finish Window 3.2.2.3.1Description The Simple Finish Window contains a the following text : ""You win !"" and a pushbutton with the label ""OK"".","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2003 - qheadache.txt,95,simple,3.2.2.3.4Outputs The Simple Finish Window is closed.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2003 - tachonet.txt,64,simple,FUN-10 The system must be able to include new members in the network through simple administrative tasks.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2003 - tachonet.txt,77,easy,USA-02 The system must be easy to learn and does not obstruct the thematic understanding of the users.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
2003 - tachonet.txt,78,easy,USA-03 The system must make it easy to correct mistakes.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
2003 - tachonet.txt,79,robust,Reliability The table hereafter lists all the non-functional “reliability” requirements: requirements Reliability Description Requirement Id REL-01 The system is to be designed as a robust and dependable operational system which is tolerant to operator errors and which will recover cleanly from power cuts or other disasters.,"Specify failure modes and recovery time, e.g., 'recovers within 5s after transient failure'."
2003 - tachonet.txt,127,secure,"From the TACHOnet viewpoint, the CIA Administrator will be assigned an account and will be granted the rights to browse the TCN usage statistics reports through a secure web site.","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2003 - tachonet.txt,314,secure,"Assumptions - Open issues - 21-Feb-03 - Page 46 TACHOnet - DG TREN GETRONICS BELGIUM Software Requirements Specification – version 01_00 Use Case 10 – “Browse Statistics” Brief This use case consists of allowing the TCN Administrator and every CIA Description Administrator to browse, via a secure Web interface, the usage statistics reports.","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2004 - colorcast.txt,9,easy,"For ABC Paint customers to remain loyal and happy, we will create an easy to use system, allowing conversion to the new paints and collections.","Specify what 'easy' means (install, learn, use) with measurable criteria."
2004 - colorcast.txt,40,easy,The product is a stand-alone web application with a theme mechanism to allow easy integration of the application into the ABC Paint website.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
2004 - colorcast.txt,43,easy,"Primarily, the application will include a old to new product-line “translator,” a graphical color chooser, a color search-engine, a user color palette, possibly, an easy to use color matching system, and an administrative interface.","Specify what 'easy' means (install, learn, use) with measurable criteria."
2004 - colorcast.txt,53,secure,"The second class, the administrative user, is composed of several subclasses for the secure management of access to data and permissions throughout the organization.","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2004 - colorcast.txt,69,easy,This allows an easy transition for employees who are primarily used to keyboard input in current ABC Paint business applications.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
2004 - colorcast.txt,84,easy,A task-pane will be available in all workflow scenarios to allow easy access to on-line help and next-step options.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
2004 - colorcast.txt,96,intuitive,"Pointing device: The Pointing device provides intuitive, fluid control of the application for less sophisticated consumer users, and ease-of-use for the graphical color chooser interface.","Replace with usability metric, e.g., 'Task success rate ≥ 85% in usability test.'"
2004 - colorcast.txt,111,robust,The modularization approach allows for a more robust application with fault tolerance and easy module replacement for security and upgradeability.,"Specify failure modes and recovery time, e.g., 'recovers within 5s after transient failure'."
2004 - colorcast.txt,111,easy,The modularization approach allows for a more robust application with fault tolerance and easy module replacement for security and upgradeability.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
2004 - colorcast.txt,112,intuitive,4.1 Graphical Color Chooser The graphical color chooser will be a pointing device driven intuitive color selection tool.,"Replace with usability metric, e.g., 'Task success rate ≥ 85% in usability test.'"
2004 - colorcast.txt,130,secure,This information is private but not secure.,"Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2004 - colorcast.txt,157,secure,No attempts will be made to secure this information.,"Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2004 - colorcast.txt,160,secure,"Most important, the store of access permissions to administrative features and access permissions must be secure.","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2004 - colorcast.txt,188,secure,"Security: Similar to Privacy, but much more secure.","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2004 - grid bgc.txt,9,reliable,Grid technologies shall be utilized to provide secure and reliable communications to remote computing resources.,"Specify reliability target, e.g., 'availability ≥ 99.9% monthly'."
2004 - grid bgc.txt,9,secure,Grid technologies shall be utilized to provide secure and reliable communications to remote computing resources.,"Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2004 - grid bgc.txt,72,secure,All login actions shall be protected by using secure data channels 3.,"Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2004 - rlcs.txt,164,secure,The second consists of a secure remote dial-in interface through a firewall via a dial-up modem.,"Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2004 - rlcs.txt,364,secure,"The RLCS shall also store, process, and retrieve all data necessary to secure the system from unauthorized use.","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2004 - rlcs.txt,443,fast,"Depending on user needs for fast report response times (such as for ad hoc reporting), database extracts may be created for reporting purposes only.","Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
2004 - rlcs.txt,462,secure,"3.5.2 Security The RLCS shall incorporate a database to store, process, and retrieve all data necessary to secure the system from unauthorized use.","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2004 - rlcs.txt,464,secure,"3.5.2.1 The RLCS shall incorporate a database to store, process, and retrieve all data necessary to secure the system from unauthorized use.","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2004 - rlcs.txt,466,secure,3.5.2.3 The MD5 algorithm shall be used to secure application data and software in the controllers and the application server.,"Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2004 - rlcs.txt,602,simple,"In the following section, the term ‘device command’ shall be understood to include any simple command, command group, or macro, which may, if executed, change the state of one or more entrance devices.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2004 - sprat.txt,115,secure,Origin: Customer Interview (Qingfeng He) 02/06/04 Priority: 1 NFR-UAM 2 Requirement Definition: The system shall allow secure storage of passwords in the database.,"Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2004 - sprat.txt,116,secure,Requirement Specification: The system will provide secure storage of passwords of all users in the database.,"Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2004 - sprat.txt,118,secure,Requirement Specification: The system will provide secure way for users to log onto the system.,"Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2004 - sprat.txt,383,easy,Goal Management: The process of organizing the goals collected from the policies in a readable and easy to access form.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
2004 - sprat.txt,402,easy,This is a conscious process and easy to conclude.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
2004 - watcom gui.txt,62,fast,"It is: • Stable, • Free, • Fast, • Well documented, • Broadly adopted, • Themes support, • Extensible.","Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
2004 - watcom.txt,346,simple,"However, the task is simple.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2004 - watcom.txt,356,simple,"Sample PDC PIC extern int src; .globl src, dst, ptr .globl src, dst, ptr extern int dst; extern int *ptr; ptr = &dst; movl $dst, ptr movl ptr@GOT(%ebx), %eax movl dst@GOT(%ebx), %edx movl %edx, (%eax) *ptr = src; movl ptr, %eax movl ptr@GOT(%ebx), %eax movl src, %edx movl (%eax), %eax movl %edx, (%eax) movl src@GOT(%ebx), %edx movl (%edx), %edx movl %edx, (%eax) Although references like name@GOT seem complicated, their meaning is simple, e.g.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2004 - watcom.txt,565,simple,"For Linux, the program interpreter is /lib/ld-linux.so.2 The needed changes in LoadELF are simple and obvious.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2005 - grid 3D.txt,91,intuitive,The application should be intuitive and not require any specialist training.,"Replace with usability metric, e.g., 'Task success rate ≥ 85% in usability test.'"
2005 - grid 3D.txt,95,fast, The response to a change in the orientation should be fast enough to avoid interrupting the  user's flow of thought.,"Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
2005 - microcare.txt,18,user friendly,Introduction 1.1 General overview of the VMUS (Voucher Maintenance Unit System) System Development: The system will be developed on Oracle 9i platform Front end will be VB (visual basic) Reports will be crystal reports 9 System design: The system will be user friendly with maximum master table structure with all transaction screens to have drop down selection menus to minimize data entry errors.,"Replace with measurable usability criteria, e.g., 'Novice user completes task X in ≤ 90s with ≥90% success.'"
2005 - microcare.txt,21,simple,The system will be easily trainable for the user with minimum computer skill with simple user step by step manual.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2005 - microcare.txt,23,efficient,"The database storage will be highly efficient to manage and avoid empty unused spaced blocked, properly defragmenter on a periodic basis.","Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
2005 - microcare.txt,77,easy,"The voucher management system is subdivided into following modules to make the system easy for understanding, developing, testing and to implement.","Specify what 'easy' means (install, learn, use) with measurable criteria."
2005 - microcare.txt,169,easy,"For the easy understanding and designing of the system, this module is subdivided into following sub-modules.","Specify what 'easy' means (install, learn, use) with measurable criteria."
2005 - microcare.txt,190,easy,"o Valid From (Date selection option) o Valid up to (Date selection option) o First Visit Consultation Fee (Only Numeric Entry, default 0) o First follow up visit Consultation Fee (Only Numeric Entry, default 0) o First second up visit Consultation Fee (Only Numeric Entry, default 0) o First visit Lab Fee (Only Numeric Entry, default 0) The above mentioned payment terms will help the MSIU to make the payment detail easy and also help the VSP to get their payment in time.","Specify what 'easy' means (install, learn, use) with measurable criteria."
2005 - nenios.txt,107,efficient,"You will have to manage your facilities in a cost effective, efficient manner in order to maximize revenues per class room yet still remain in compliance with Federal, State, and Local guidelines.","Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
2005 - phin.txt,153,secure,"Bi-directional, secure exchange of data with partner organizations supports public health investigations across all levels of public health.","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2005 - phin.txt,154,secure,"Message construction and parsing, and secure data transport requirements that span PHIN functional areas are separately defined and should be reviewed in “PHIN Preparedness Cross Functional Components Requirements”, available at www.cdc.gov/phin.","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2005 - pontis.txt,47,robust,"Specific Goals for Pontis 5.0 The goals for Pontis 5.0 are to provide the AASHTO member agencies and licensees with: • A readily-accessible, robust repository for bridge information, including data inventory, condition, needs, project plans, and accomplishments; Cambridge Systematics, Inc.","Specify failure modes and recovery time, e.g., 'recovers within 5s after transient failure'."
2005 - pontis.txt,50,robust,"Robust means that: a) the repository is built on a commercial, high-quality relational database management system (RDBMS); b) the information contained in the system is secure, with access limited to appropriate staff and agency- designated parties; c) information contained in the system can be backed up in a secure location on a regular schedule; and d) the system is reliable and in operation at an acceptable levels of availability and performance.","Specify failure modes and recovery time, e.g., 'recovers within 5s after transient failure'."
2005 - pontis.txt,50,reliable,"Robust means that: a) the repository is built on a commercial, high-quality relational database management system (RDBMS); b) the information contained in the system is secure, with access limited to appropriate staff and agency- designated parties; c) information contained in the system can be backed up in a secure location on a regular schedule; and d) the system is reliable and in operation at an acceptable levels of availability and performance.","Specify reliability target, e.g., 'availability ≥ 99.9% monthly'."
2005 - pontis.txt,50,secure,"Robust means that: a) the repository is built on a commercial, high-quality relational database management system (RDBMS); b) the information contained in the system is secure, with access limited to appropriate staff and agency- designated parties; c) information contained in the system can be backed up in a secure location on a regular schedule; and d) the system is reliable and in operation at an acceptable levels of availability and performance.","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2005 - pontis.txt,334,easy,"6.21 The user shall be able to view all data from any two inspections, for a single bridge, in a tiled14 presentation for easy comparison.","Specify what 'easy' means (install, learn, use) with measurable criteria."
2005 - pontis.txt,398,easy,The errors will be highlighted for easy review.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
2005 - pontis.txt,471,simple,"25 Web service and SOAP (Simple Object Access Protocol) will likely be used for these interfaces Cambridge Systematics, Inc.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2005 - pontis.txt,495,intuitive,"5.2 USABILITY REQUIREMENTS Pontis 5.0 will be designed to be as straightforward and intuitive as possible, and familiar to existing users.","Replace with usability metric, e.g., 'Task success rate ≥ 85% in usability test.'"
2005 - pontis.txt,557,secure,The Pontis application server (ASP.NET) software will run on a server located within a (presumably) secure facility at each agency.,"Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2005 - pontis.txt,733,easy,• Agency Custom Forms: There is a risk that the approach taken to providing agency forms will not support easy migration from Pontis 4.x to Pontis 5.0.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
2005 - triangle.txt,37,easy,"Installation should be easy, so no external databases should be required.","Specify what 'easy' means (install, learn, use) with measurable criteria."
2005 - triangle.txt,46,easy,3 System Features 3.1 System has a graphical user interface 3.1.1 Description and Priority The system has an easy to use graphical user interface which supports both a mouse and a keyboard.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
2005 - triangle.txt,146,simple,The definition for a game has to be simple and understandable by a non-programmer.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
