acronym,expansion,file,sent_idx,sentence
DMS,Message Sign Interface Requirements Table 5 lists the interface requirements for supporting the Dynamic Message Sign,2001 - ctc network.txt,163,End date of series 2.1.5 Dynamic Message Sign Interface Requirements Table 5 lists the interface requirements for supporting the Dynamic Message Sign (DMS) data transmission.
LCS,Control Signal Interface Requirements Table 6 lists the interface requirements for supporting the Lane Control Signal,2001 - ctc network.txt,179,Immediate message (MULTI string) 2.1.6 Lane Control Signal Interface Requirements Table 6 lists the interface requirements for supporting the Lane Control Signal (LCS) data transmission.
CCTV,Television Interface Requirements Table 7 lists the interface requirements for supporting the Closed Circuit Television,2001 - ctc network.txt,194,Signal Pattern 2.1.7 Closed Circuit Television Interface Requirements Table 7 lists the interface requirements for supporting the Closed Circuit Television (CCTV) data transmission.
NCTCOG,C2C-MP-03 The basemap data shall be derived from the North Central Texas Council of Governments,2001 - ctc network.txt,506,C2C-MP-03 The basemap data shall be derived from the North Central Texas Council of Governments (NCTCOG) Geo- Data warehouse.
HMI,human-machine interface,2001 - elsfork.txt,78,"the subfunctions with the core functionality itself, the process interface function and the HMI (human-machine interface) function meaning human access to the function."
TASE,service element,2001 - elsfork.txt,120,"[2] service element (TASE) Time resolution, limit The minimum time by which two events must be separated in order of accuracy of chronol- that the corresponding time tags be different."
SYSTEM,operational functions,2001 - elsfork.txt,154,"SYSTEM (operational functions) Users COMMUNICATION Wind farm (services,functions) COMMUNICATION SCADA WFMC CU SWPU CU SWPU CU CU SWPU SWPU DATA DATA WFMC: Wind Farm Main Controller CU: Control Unit SWPU: Single Wind Power Unit Figure 1: System overview for wind power communication 2.1 System description On the highest level the system is described from an operational point of view, i.e."
WFMC,In the case of bigger plants there is usually a wind farm main controller,2001 - elsfork.txt,159,"In the case of bigger plants there is usually a wind farm main controller (WFMC) and an internal communi- cation system, which connects all the turbines to the WFMC for further external communica- tion."
UTF16,such as ASCII or Unicode,2001 - elsfork.txt,372,"• For the HMI such information shall be contained in the device using standard readable text, such as ASCII or Unicode (UTF16) (at least optional in the language of the opera- tor)."
PICOM,Piece of information for Communication,2001 - elsfork.txt,377,To describe the data being exchanged within a substation the CIGRE WG34.03 has intro- duced the concept of PICOM (Piece of information for Communication).
DDNN,here 18 characters used,2001 - elsfork.txt,397,"AN NN BBBNN CCNNN DDNN (here 18 characters used) First group of letters A followed by a number N Wind power plant, e.g."
ISO,Communication reference model The layered architectural guidelines of the International Standardisation Organisation,2001 - elsfork.txt,542,Interface to legacy control system/RTU A.3 Communication protocol stack functionality Communication reference model The layered architectural guidelines of the International Standardisation Organisation (ISO) Open Systems Interconnect (OSI) reference model is here used.
OSI,Open Systems Interconnect,2001 - elsfork.txt,542,Interface to legacy control system/RTU A.3 Communication protocol stack functionality Communication reference model The layered architectural guidelines of the International Standardisation Organisation (ISO) Open Systems Interconnect (OSI) reference model is here used.
OPC,originally OLE for Process Con- trol,2001 - elsfork.txt,561,"OPC (originally OLE for Process Con- trol) defines a common interface that can be used by HMI, SCADA, Control and custom ap- plications to exchange data with hardware field devices."
IED,Intelligent Electronic Devices,2001 - elsfork.txt,564,"Page A-4 ELFORSK Companion standard profiles IEC 60870-5-101 and -104 IEC 60870-5-101 and -104 are companion standard profiles, particularly aimed at ""telecon- trol, teleprotection, and associated telecommunications for electric power systems"", specifi- cally for RTUs and IED (Intelligent Electronic Devices)."
TASE2,ICCP,2001 - elsfork.txt,568,The MMS Companion standard TASE.2 (ICCP) TASE stands for Telecontrol Application Service Element.
ICCP,TASE-2,2001 - elsfork.txt,571,"TASE-2 (ICCP) resides on layer 7 in the OSI-model and is an MMS companion standard, that is, the general MMS services have been particularised for telecontrol applications."
TASE-2,ICCP,2001 - elsfork.txt,571,"TASE-2 (ICCP) resides on layer 7 in the OSI-model and is an MMS companion standard, that is, the general MMS services have been particularised for telecontrol applications."
MMS,ISO 9506,2001 - elsfork.txt,581,MMS (ISO 9506) is the service specification applied in 61850-8-1.
OFX,Open Financial Ex- change Format,2001 - elsfork.txt,588,OFX (Open Financial Ex- change Format) is an example for an XML definition of data interchange between financial applications.
OWX,named for example Open Windmill Exchange Format,2001 - elsfork.txt,589,"A format for exchanging data between wind power plants and a control system, named for example Open Windmill Exchange Format (OWX), can be defined."
CC,and OPC servers on busi-,2001 - elsfork.txt,601,"and OPC servers on busi- (CC) or from CC to sta- 101 for basic telecontrol, ness and process level."
ANSIG,Analogue signals,2001 - elsfork.txt,680,"C.2 Properties of the data The data can be described by the following properties: - Name (SignalID) - Description - Unit - Kind (ANalogue SIGnal, SET Point, BINary SIGnal, BINary control COMmand, ALarm, EVent, COUnter, TIMer, data STRUCTure, Time SERie, short TEXT message, FILE) - Accuracy - Priority (HIgh, LOw) - Time tag - Remark C.3 Data groups (accordance Section 6.3-6.11) Analogue signals (ANSIG) - Analogue signals Set point commands (SETP) - Low priority signals - set points - High priority signals - set points Binary signals (BINSIG) - Status (binary) - Binary signals Binary control commands (BINCOM) - Low priority signals – instructions - High priority signals - binary commands Alarms and alarm logging (AL) - Alarms and alarm log Event and event logging (EV) - Event log Counters (COU) - Counters - number of activations - Production counters Timers (TIM) - Timers (accumulated time) Data structures (STRUCT) Time series (SER) Short text message (TEXT) File (FILE) Page C-1 ELFORSK C.4 Data list example Name (SignalID) Description Unit Value Kind Accuracy Priority Time tag Remark."
SETP,Analogue signals Set point commands,2001 - elsfork.txt,680,"C.2 Properties of the data The data can be described by the following properties: - Name (SignalID) - Description - Unit - Kind (ANalogue SIGnal, SET Point, BINary SIGnal, BINary control COMmand, ALarm, EVent, COUnter, TIMer, data STRUCTure, Time SERie, short TEXT message, FILE) - Accuracy - Priority (HIgh, LOw) - Time tag - Remark C.3 Data groups (accordance Section 6.3-6.11) Analogue signals (ANSIG) - Analogue signals Set point commands (SETP) - Low priority signals - set points - High priority signals - set points Binary signals (BINSIG) - Status (binary) - Binary signals Binary control commands (BINCOM) - Low priority signals – instructions - High priority signals - binary commands Alarms and alarm logging (AL) - Alarms and alarm log Event and event logging (EV) - Event log Counters (COU) - Counters - number of activations - Production counters Timers (TIM) - Timers (accumulated time) Data structures (STRUCT) Time series (SER) Short text message (TEXT) File (FILE) Page C-1 ELFORSK C.4 Data list example Name (SignalID) Description Unit Value Kind Accuracy Priority Time tag Remark."
BINSIG,Low priority signals - set points - High priority signals - set points Binary signals,2001 - elsfork.txt,680,"C.2 Properties of the data The data can be described by the following properties: - Name (SignalID) - Description - Unit - Kind (ANalogue SIGnal, SET Point, BINary SIGnal, BINary control COMmand, ALarm, EVent, COUnter, TIMer, data STRUCTure, Time SERie, short TEXT message, FILE) - Accuracy - Priority (HIgh, LOw) - Time tag - Remark C.3 Data groups (accordance Section 6.3-6.11) Analogue signals (ANSIG) - Analogue signals Set point commands (SETP) - Low priority signals - set points - High priority signals - set points Binary signals (BINSIG) - Status (binary) - Binary signals Binary control commands (BINCOM) - Low priority signals – instructions - High priority signals - binary commands Alarms and alarm logging (AL) - Alarms and alarm log Event and event logging (EV) - Event log Counters (COU) - Counters - number of activations - Production counters Timers (TIM) - Timers (accumulated time) Data structures (STRUCT) Time series (SER) Short text message (TEXT) File (FILE) Page C-1 ELFORSK C.4 Data list example Name (SignalID) Description Unit Value Kind Accuracy Priority Time tag Remark."
BINCOM,Binary signals Binary control commands,2001 - elsfork.txt,680,"C.2 Properties of the data The data can be described by the following properties: - Name (SignalID) - Description - Unit - Kind (ANalogue SIGnal, SET Point, BINary SIGnal, BINary control COMmand, ALarm, EVent, COUnter, TIMer, data STRUCTure, Time SERie, short TEXT message, FILE) - Accuracy - Priority (HIgh, LOw) - Time tag - Remark C.3 Data groups (accordance Section 6.3-6.11) Analogue signals (ANSIG) - Analogue signals Set point commands (SETP) - Low priority signals - set points - High priority signals - set points Binary signals (BINSIG) - Status (binary) - Binary signals Binary control commands (BINCOM) - Low priority signals – instructions - High priority signals - binary commands Alarms and alarm logging (AL) - Alarms and alarm log Event and event logging (EV) - Event log Counters (COU) - Counters - number of activations - Production counters Timers (TIM) - Timers (accumulated time) Data structures (STRUCT) Time series (SER) Short text message (TEXT) File (FILE) Page C-1 ELFORSK C.4 Data list example Name (SignalID) Description Unit Value Kind Accuracy Priority Time tag Remark."
AL,instructions - High priority signals - binary commands Alarms and alarm logging,2001 - elsfork.txt,680,"C.2 Properties of the data The data can be described by the following properties: - Name (SignalID) - Description - Unit - Kind (ANalogue SIGnal, SET Point, BINary SIGnal, BINary control COMmand, ALarm, EVent, COUnter, TIMer, data STRUCTure, Time SERie, short TEXT message, FILE) - Accuracy - Priority (HIgh, LOw) - Time tag - Remark C.3 Data groups (accordance Section 6.3-6.11) Analogue signals (ANSIG) - Analogue signals Set point commands (SETP) - Low priority signals - set points - High priority signals - set points Binary signals (BINSIG) - Status (binary) - Binary signals Binary control commands (BINCOM) - Low priority signals – instructions - High priority signals - binary commands Alarms and alarm logging (AL) - Alarms and alarm log Event and event logging (EV) - Event log Counters (COU) - Counters - number of activations - Production counters Timers (TIM) - Timers (accumulated time) Data structures (STRUCT) Time series (SER) Short text message (TEXT) File (FILE) Page C-1 ELFORSK C.4 Data list example Name (SignalID) Description Unit Value Kind Accuracy Priority Time tag Remark."
EV,Alarms and alarm log Event and event logging,2001 - elsfork.txt,680,"C.2 Properties of the data The data can be described by the following properties: - Name (SignalID) - Description - Unit - Kind (ANalogue SIGnal, SET Point, BINary SIGnal, BINary control COMmand, ALarm, EVent, COUnter, TIMer, data STRUCTure, Time SERie, short TEXT message, FILE) - Accuracy - Priority (HIgh, LOw) - Time tag - Remark C.3 Data groups (accordance Section 6.3-6.11) Analogue signals (ANSIG) - Analogue signals Set point commands (SETP) - Low priority signals - set points - High priority signals - set points Binary signals (BINSIG) - Status (binary) - Binary signals Binary control commands (BINCOM) - Low priority signals – instructions - High priority signals - binary commands Alarms and alarm logging (AL) - Alarms and alarm log Event and event logging (EV) - Event log Counters (COU) - Counters - number of activations - Production counters Timers (TIM) - Timers (accumulated time) Data structures (STRUCT) Time series (SER) Short text message (TEXT) File (FILE) Page C-1 ELFORSK C.4 Data list example Name (SignalID) Description Unit Value Kind Accuracy Priority Time tag Remark."
COU,Event log Counters,2001 - elsfork.txt,680,"C.2 Properties of the data The data can be described by the following properties: - Name (SignalID) - Description - Unit - Kind (ANalogue SIGnal, SET Point, BINary SIGnal, BINary control COMmand, ALarm, EVent, COUnter, TIMer, data STRUCTure, Time SERie, short TEXT message, FILE) - Accuracy - Priority (HIgh, LOw) - Time tag - Remark C.3 Data groups (accordance Section 6.3-6.11) Analogue signals (ANSIG) - Analogue signals Set point commands (SETP) - Low priority signals - set points - High priority signals - set points Binary signals (BINSIG) - Status (binary) - Binary signals Binary control commands (BINCOM) - Low priority signals – instructions - High priority signals - binary commands Alarms and alarm logging (AL) - Alarms and alarm log Event and event logging (EV) - Event log Counters (COU) - Counters - number of activations - Production counters Timers (TIM) - Timers (accumulated time) Data structures (STRUCT) Time series (SER) Short text message (TEXT) File (FILE) Page C-1 ELFORSK C.4 Data list example Name (SignalID) Description Unit Value Kind Accuracy Priority Time tag Remark."
TIM,Counters - number of activations - Production counters Timers,2001 - elsfork.txt,680,"C.2 Properties of the data The data can be described by the following properties: - Name (SignalID) - Description - Unit - Kind (ANalogue SIGnal, SET Point, BINary SIGnal, BINary control COMmand, ALarm, EVent, COUnter, TIMer, data STRUCTure, Time SERie, short TEXT message, FILE) - Accuracy - Priority (HIgh, LOw) - Time tag - Remark C.3 Data groups (accordance Section 6.3-6.11) Analogue signals (ANSIG) - Analogue signals Set point commands (SETP) - Low priority signals - set points - High priority signals - set points Binary signals (BINSIG) - Status (binary) - Binary signals Binary control commands (BINCOM) - Low priority signals – instructions - High priority signals - binary commands Alarms and alarm logging (AL) - Alarms and alarm log Event and event logging (EV) - Event log Counters (COU) - Counters - number of activations - Production counters Timers (TIM) - Timers (accumulated time) Data structures (STRUCT) Time series (SER) Short text message (TEXT) File (FILE) Page C-1 ELFORSK C.4 Data list example Name (SignalID) Description Unit Value Kind Accuracy Priority Time tag Remark."
STRUCT,Data structures,2001 - elsfork.txt,680,"C.2 Properties of the data The data can be described by the following properties: - Name (SignalID) - Description - Unit - Kind (ANalogue SIGnal, SET Point, BINary SIGnal, BINary control COMmand, ALarm, EVent, COUnter, TIMer, data STRUCTure, Time SERie, short TEXT message, FILE) - Accuracy - Priority (HIgh, LOw) - Time tag - Remark C.3 Data groups (accordance Section 6.3-6.11) Analogue signals (ANSIG) - Analogue signals Set point commands (SETP) - Low priority signals - set points - High priority signals - set points Binary signals (BINSIG) - Status (binary) - Binary signals Binary control commands (BINCOM) - Low priority signals – instructions - High priority signals - binary commands Alarms and alarm logging (AL) - Alarms and alarm log Event and event logging (EV) - Event log Counters (COU) - Counters - number of activations - Production counters Timers (TIM) - Timers (accumulated time) Data structures (STRUCT) Time series (SER) Short text message (TEXT) File (FILE) Page C-1 ELFORSK C.4 Data list example Name (SignalID) Description Unit Value Kind Accuracy Priority Time tag Remark."
SER,Time series,2001 - elsfork.txt,680,"C.2 Properties of the data The data can be described by the following properties: - Name (SignalID) - Description - Unit - Kind (ANalogue SIGnal, SET Point, BINary SIGnal, BINary control COMmand, ALarm, EVent, COUnter, TIMer, data STRUCTure, Time SERie, short TEXT message, FILE) - Accuracy - Priority (HIgh, LOw) - Time tag - Remark C.3 Data groups (accordance Section 6.3-6.11) Analogue signals (ANSIG) - Analogue signals Set point commands (SETP) - Low priority signals - set points - High priority signals - set points Binary signals (BINSIG) - Status (binary) - Binary signals Binary control commands (BINCOM) - Low priority signals – instructions - High priority signals - binary commands Alarms and alarm logging (AL) - Alarms and alarm log Event and event logging (EV) - Event log Counters (COU) - Counters - number of activations - Production counters Timers (TIM) - Timers (accumulated time) Data structures (STRUCT) Time series (SER) Short text message (TEXT) File (FILE) Page C-1 ELFORSK C.4 Data list example Name (SignalID) Description Unit Value Kind Accuracy Priority Time tag Remark."
TEXT,Short text message,2001 - elsfork.txt,680,"C.2 Properties of the data The data can be described by the following properties: - Name (SignalID) - Description - Unit - Kind (ANalogue SIGnal, SET Point, BINary SIGnal, BINary control COMmand, ALarm, EVent, COUnter, TIMer, data STRUCTure, Time SERie, short TEXT message, FILE) - Accuracy - Priority (HIgh, LOw) - Time tag - Remark C.3 Data groups (accordance Section 6.3-6.11) Analogue signals (ANSIG) - Analogue signals Set point commands (SETP) - Low priority signals - set points - High priority signals - set points Binary signals (BINSIG) - Status (binary) - Binary signals Binary control commands (BINCOM) - Low priority signals – instructions - High priority signals - binary commands Alarms and alarm logging (AL) - Alarms and alarm log Event and event logging (EV) - Event log Counters (COU) - Counters - number of activations - Production counters Timers (TIM) - Timers (accumulated time) Data structures (STRUCT) Time series (SER) Short text message (TEXT) File (FILE) Page C-1 ELFORSK C.4 Data list example Name (SignalID) Description Unit Value Kind Accuracy Priority Time tag Remark."
FILE,File,2001 - elsfork.txt,680,"C.2 Properties of the data The data can be described by the following properties: - Name (SignalID) - Description - Unit - Kind (ANalogue SIGnal, SET Point, BINary SIGnal, BINary control COMmand, ALarm, EVent, COUnter, TIMer, data STRUCTure, Time SERie, short TEXT message, FILE) - Accuracy - Priority (HIgh, LOw) - Time tag - Remark C.3 Data groups (accordance Section 6.3-6.11) Analogue signals (ANSIG) - Analogue signals Set point commands (SETP) - Low priority signals - set points - High priority signals - set points Binary signals (BINSIG) - Status (binary) - Binary signals Binary control commands (BINCOM) - Low priority signals – instructions - High priority signals - binary commands Alarms and alarm logging (AL) - Alarms and alarm log Event and event logging (EV) - Event log Counters (COU) - Counters - number of activations - Production counters Timers (TIM) - Timers (accumulated time) Data structures (STRUCT) Time series (SER) Short text message (TEXT) File (FILE) Page C-1 ELFORSK C.4 Data list example Name (SignalID) Description Unit Value Kind Accuracy Priority Time tag Remark."
IRF,For The Swedish Institute of Space Physics,2001 - esa.txt,0,"APAF-SRS-15-03561-V1.0 April 24, 2001 SOFTWARE REQUIREMENTS SPECIFICATION Version 1.0 For The Swedish Institute of Space Physics (IRF) Mars Express ASPERA-3 Processing and Archiving Facility (APAF) SwRI Project No."
APAF,Mars Express ASPERA-3 Processing and Archiving Facility,2001 - esa.txt,0,"APAF-SRS-15-03561-V1.0 April 24, 2001 SOFTWARE REQUIREMENTS SPECIFICATION Version 1.0 For The Swedish Institute of Space Physics (IRF) Mars Express ASPERA-3 Processing and Archiving Facility (APAF) SwRI Project No."
SRS,SCOPE This Software Requirements Specification,2001 - esa.txt,6,"SOFTWARE REQUIREMENTS SPECIFICATION i April 24, 2001 APAF-SRS-15-03561-V1.0 TABLE OF CONTENTS ACRONYMS..............................................................................................................................................iii 1.0 SCOPE..............................................................................................................................................1 1.1 Project Identification......................................................................................................................1 1.2 Data System Overview...................................................................................................................1 1.3 Goals and Objectives......................................................................................................................2 1.4 Document Overview.......................................................................................................................2 1.5 Related Documents.........................................................................................................................2 2.0 REQUIREMENTS SPECIFICATION DESCRIPTIONS...........................................................3 2.1 Requirement Identification.............................................................................................................3 2.2 Qualification Provisions.................................................................................................................3 2.3 Rationale.........................................................................................................................................3 2.4 Requirements Traceability..............................................................................................................3 3.0 REQUIREMENTS...........................................................................................................................4 3.1 Capability or Functional Requirements..........................................................................................4 3.2 External Interface Requirements....................................................................................................5 3.3 Internal Interface Requirements.....................................................................................................6 3.4 Internal Data Requirements............................................................................................................6 3.5 Security and Privacy Requirements................................................................................................6 3.6 Computer Resource Requirements.................................................................................................7 3.7 Logistics-Related Requirements.....................................................................................................7 3.8 Delivery Requirements...................................................................................................................7 3.9 Other Requirements Considered.....................................................................................................9 3.9.1 Required States and Modes.....................................................................................................9 3.9.2 Adaptation Requirements........................................................................................................9 3.9.3 Safety Requirements...............................................................................................................9 3.9.4 Software Quality Factors.........................................................................................................9 3.9.5 Design and Implementation Requirements.............................................................................9 3.9.6 Personnel-Related Requirements............................................................................................9 3.9.7 Training-Related Requirements..............................................................................................9 3.9.8 Precedence and Criticality of Requirements.........................................................................10 4.0 NOTES............................................................................................................................................11 SOFTWARE REQUIREMENTS SPECIFICATION i i April 24, 2001 APAF-SRS-15-03561-V1.0 ACRONYMS APAF ASPERA-3 Processing and Archiving Facility ASPERA-3 Analyzer of Space Plasma and Energetic Atoms (3rd Version) Co-I Co-Investigator DDID Data Disposition system Interface control Document DDS Data Disposition System DPU Data Processing Unit (of the ASPERA-3 instrument package) DSID Data System Interface Document ELS Electron Spectrometer (of the ASPERA-3 instrument package) E/PO Education and Public Outreach ESA European Space Agency ESOC European Science Operations Center (Darmstadt, Germany) FMI Finnish Meteorological Institute (Helsinki, Finland) GIF Graphics Interchange Format ICD Interface Control Document IDFS Instrument Data File Set or Instrument Description File Set IMA Ion Mass Analyzer (of the ASPERA-3 instrument package) IRF Swedish Institute of Space Physics (Kiruna, Sweden) MEX Mars Express NASA National Aeronautics and Space Administration NISN NASA Integrated Services Network NPD Neutral Particle Detector (of the ASPERA-3 instrument package) NPI Neutral Particle Imager (of the ASPERA-3 instrument package) OA Orbit/Attitude (information from the Mars Express spacecraft) OPD Operations Procedures Document PDMP Project Data Management Plan PDS Planetary Data System PI Principal Investigator PIDF Plot Interface Definition File PM Project Manager SDD Software Design Document SDDAS Southwest Data Display and Analysis System SDP Software Development Plan SPM Software Project Manager SU Scanning Unit (of the ASPERA-3 instrument package) SwRI Southwest Research Institute (San Antonio, Texas USA) UMU Umeå Univeristet (University in Umeå, Sweden) VIDF Virtual Instrument Description File SOFTWARE REQUIREMENTS SPECIFICATION i i i April 24, 2001 APAF-SRS-15-03561-V1.0 1.0 SCOPE This Software Requirements Specification (SRS) identifies the requirements for the ASPERA-3 Processing and Archiving Facility (APAF) ground data system for the Mars Express mission."
ESA,will be flown on the Mars Express mission of the European Space Agency,2001 - esa.txt,10,"Start Date: June 14, 1999 End Date: September 30, 2007 1.2 Data System Overview The ASPERA-3 instrument package (or ASPERA-3 experiment) will be flown on the Mars Express mission of the European Space Agency (ESA) and will be launched in June 2003 according to the current schedule."
IDFS,These data products will be put into a form known as the Instrument Data File Set,2001 - esa.txt,13,These data products will be put into a form known as the Instrument Data File Set (IDFS).
DPU,Data Processing Unit,2001 - esa.txt,18,Data Processing Unit (DPU) 2.
ELS,Electron Spectrometer,2001 - esa.txt,19,Electron Spectrometer (ELS) 3.
IMA,Ion Mass Analyzer,2001 - esa.txt,20,Ion Mass Analyzer (IMA) 4.
NPD,Neutral Particle Detector,2001 - esa.txt,21,Neutral Particle Detector (NPD) 5.
NPI,Neutral Particle Imager,2001 - esa.txt,22,Neutral Particle Imager (NPI) 6.
SU,Scanning Unit,2001 - esa.txt,23,Scanning Unit (SU) 7.
OA,Attitude,2001 - esa.txt,24,Orbit/Attitude (OA) Each of the physical components will be divided into logical groups (called virtual instruments) in which each logical group will be formatted as an IDFS data set.
SDD,will have an associated Software Design Document,2001 - esa.txt,25,"Each of the seven components described above SOFTWARE REQUIREMENTS SPECIFICATION 1 April 24, 2001 APAF-SRS-15-03561-V1.0 will have an associated Software Design Document (SDD) that will define and fully describe all of the data products contained within each individual virtual instrument."
PDS,validation and archiving of all ASPERA-3 scientific data in the NASA Planetary Data System,2001 - esa.txt,27,"In addition, validation and archiving of all ASPERA-3 scientific data in the NASA Planetary Data System (PDS) within 6 months of receipt in a form useable by the general scientific community is to be provided by the APAF."
SGICD,Ground Interface Control Document,2001 - esa.txt,32,"1999 APAF Software Development Plan: APAF-SDP-15-02853, Version 1.2 released November 27, 2000 APAF Project Data Management Plan: APAF-PDMP-15-03561, Version 1.1 released December 29, 2000 APAF Data System Interface Document: APAF-DSID-15-03561, Version 1.0 released August 18, 2000 ESA Mars Express Space / Ground Interface Control Document (SGICD): ME-ESC-IF-5001, Issue 1, May 1999 ESOC Data Disposition system Interface control Document (DDID): to be released sometime 2000 ASPERA-3 Packet Definitions: from FMI and UMU, preliminary document from FMI issued July 2000 ELS Software Design Document: ELS-SDD-15-03561, Version 1.0 to be released December 15, 2001 IMA Software Design Document: IMA-SDD-15-03561, Version 1.0 to be released December 15, 2001 NPD Software Design Document: NPD-SDD-15-03561, Version 1.0 to be released December 15, 2001 NPI Software Design Document: NPI-SDD-15-03561, Version 1.0 to be released December 15, 2001 DPU Software Design Document: DPU-SDD-15-03561, Version 1.0 to be released September 1, 2002 SU Software Design Document: SU-SDD-15-03561, Version 1.0 to be released September 1, 2002 OA Software Design Document: OA-SDD-15-03561, Version 1.0 to be released September 1, 2002 APAF System Design Document: APAF-SDD-15-03561, Version 1.0 to be released December 4, 2002 APAF Operations Procedures: APAF-OPD-15-03561, Version 1.0 to be released May 23, 2003 SOFTWARE REQUIREMENTS SPECIFICATION 2 April 24, 2001 APAF-SRS-15-03561-V1.0 2.0 REQUIREMENTS SPECIFICATION DESCRIPTIONS 2.1 Requirement Identification Each requirement shall be: • Necessary: It states a condition for the acceptance of the system."
DDID,May 1999 ESOC Data Disposition system Interface control Document,2001 - esa.txt,32,"1999 APAF Software Development Plan: APAF-SDP-15-02853, Version 1.2 released November 27, 2000 APAF Project Data Management Plan: APAF-PDMP-15-03561, Version 1.1 released December 29, 2000 APAF Data System Interface Document: APAF-DSID-15-03561, Version 1.0 released August 18, 2000 ESA Mars Express Space / Ground Interface Control Document (SGICD): ME-ESC-IF-5001, Issue 1, May 1999 ESOC Data Disposition system Interface control Document (DDID): to be released sometime 2000 ASPERA-3 Packet Definitions: from FMI and UMU, preliminary document from FMI issued July 2000 ELS Software Design Document: ELS-SDD-15-03561, Version 1.0 to be released December 15, 2001 IMA Software Design Document: IMA-SDD-15-03561, Version 1.0 to be released December 15, 2001 NPD Software Design Document: NPD-SDD-15-03561, Version 1.0 to be released December 15, 2001 NPI Software Design Document: NPI-SDD-15-03561, Version 1.0 to be released December 15, 2001 DPU Software Design Document: DPU-SDD-15-03561, Version 1.0 to be released September 1, 2002 SU Software Design Document: SU-SDD-15-03561, Version 1.0 to be released September 1, 2002 OA Software Design Document: OA-SDD-15-03561, Version 1.0 to be released September 1, 2002 APAF System Design Document: APAF-SDD-15-03561, Version 1.0 to be released December 4, 2002 APAF Operations Procedures: APAF-OPD-15-03561, Version 1.0 to be released May 23, 2003 SOFTWARE REQUIREMENTS SPECIFICATION 2 April 24, 2001 APAF-SRS-15-03561-V1.0 2.0 REQUIREMENTS SPECIFICATION DESCRIPTIONS 2.1 Requirement Identification Each requirement shall be: • Necessary: It states a condition for the acceptance of the system."
SDDAS,These simulated data sets can then be processed into IDFS data sets and the Southwest Data Display and Analysis System,2001 - esa.txt,44,These simulated data sets can then be processed into IDFS data sets and the Southwest Data Display and Analysis System (SDDAS) can be used to analyze the output from the APAF data system.
ID,The external interface identifiers,2001 - esa.txt,71,The external interface identifiers (ID) begin with APAF-DS to denote the APAF Data System.
MO,the requirements imposed on SwRI for the development and operation of the ASPERA-3 Mission of Opportunity,2001 - esa.txt,129,"SOFTWARE REQUIREMENTS SPECIFICATION 1 0 April 24, 2001 APAF-SRS-15-03561-V1.0 4.0 NOTES To aid in the understanding of this specification, the requirements imposed on SwRI for the development and operation of the ASPERA-3 Mission of Opportunity (MO) of the NASA Discovery Program as they are relevant to the APAF ground data system are documented here."
PDMP,This Program-Level requirement has been met with the generation and delivery of the APAF Project Data Management Plan,2001 - esa.txt,142,"The plan shall identify science and supplementary data products, systems associated with handling the data, and the roles, responsibilities, and operational interfaces affecting those data and systems.” Note: This Program-Level requirement has been met with the generation and delivery of the APAF Project Data Management Plan (PDMP)."
SRS,Purpose and Intended Audience The purpose of the Software Requirements Specification,2001 - hats.txt,101,"Purpose and Intended Audience The purpose of the Software Requirements Specification (SRS) is to clearly and precisely describe the requirements of the software system being developed, hereafter referred to as the HATS-GUI."
GUI,The HATS-GUI is a Graphical User Interface,2001 - hats.txt,102,The HATS-GUI is a Graphical User Interface (GUI) for the High Assurance Transformation System (HATS).
HATS,for the High Assurance Transformation System,2001 - hats.txt,102,The HATS-GUI is a Graphical User Interface (GUI) for the High Assurance Transformation System (HATS).
HIS,Scope of Product The High Integrity Software,2001 - hats.txt,112,Scope of Product The High Integrity Software (HIS) program at Sandia National Laboratories developed HATS in order to utilize transformation-based software development.
JVM,Java Virtual Machine An abstract computing machine that is responsible for the hardware and operating,2001 - hats.txt,172,Java Virtual Machine An abstract computing machine that is responsible for the hardware and operating (JVM) system independence of the Java platform.
SDT,Appendix G gives an example Syntax Derivation Tree,2001 - hats.txt,249,Appendix G gives an example Syntax Derivation Tree (SDT) display.
DFD,The flow of data between these functions is illustrated in the Data Flow Diagrams,2001 - hats.txt,348,The flow of data between these functions is illustrated in the Data Flow Diagrams (DFD) given in Appendix B.
A1,indicates this step is in the alternative numbered 1,2001 - hats.txt,410,"For example, the step number “A1-2A” indicates this step is in the alternative numbered 1 (A1) and this step is the first step replacing step 2 in the main scenario."
